schedule_id,employee_id,startdatetime,enddatetime
1000098,1001040,2009-06-16 06:00:00,2009-07-30 06:00:00
1000099,1001040,2009-03-10 06:00:00,2009-04-21 06:00:00
1000100,1001040,2009-09-08 06:00:00,2009-10-22 06:00:00
1000101,1001040,2007-11-06 06:00:00,2007-12-20 06:00:00
1000102,1001040,2008-12-16 06:00:00,2009-01-27 06:00:00
1000103,1000263,2008-07-23 06:00:00,2008-09-03 06:00:00
1000104,1000263,2008-02-08 06:00:00,2008-03-20 06:00:00
1000105,1000263,2009-04-01 06:00:00,2009-05-11 06:00:00
1000106,1000263,2007-12-14 06:00:00,2008-01-11 06:00:00
1000107,1000263,2009-01-05 06:00:00,2009-02-16 06:00:00
1000108,1000263,2009-09-14 06:00:00,2009-10-12 06:00:00
1000109,1000263,2009-06-22 06:00:00,2009-08-03 06:00:00
1000110,1000263,2008-04-30 06:00:00,2008-06-11 06:00:00
1000111,1000263,2008-10-15 06:00:00,2008-11-24 06:00:00
1000112,1000265,2009-08-03 06:00:00,2009-09-14 06:00:00
1000113,1000265,2009-05-11 06:00:00,2009-06-22 06:00:00
1000114,1000265,2008-03-21 06:00:00,2008-05-02 06:00:00
1000115,1000265,2008-11-24 06:00:00,2009-01-05 06:00:00
1000116,1000265,2009-02-16 06:00:00,2009-04-01 06:00:00
1000117,1000265,2008-01-11 06:00:00,2008-02-08 06:00:00
1000118,1000265,2008-06-11 06:00:00,2008-07-23 06:00:00
1000120,1000265,2008-09-03 06:00:00,2008-10-15 06:00:00
1000121,1000280,2008-04-10 06:00:00,2008-06-07 06:00:00
1000122,1000280,2008-01-31 06:00:00,2008-03-06 06:00:00
1000123,1000663,2007-12-18 06:00:00,2008-01-30 06:00:00
1000124,1000663,2008-05-21 06:00:00,2008-07-02 06:00:00
1000125,1000663,2008-03-06 06:00:00,2008-04-09 06:00:00
1000126,1000663,2009-05-06 06:00:00,2009-06-17 06:00:00
1000127,1000663,2008-11-05 06:00:00,2008-12-17 06:00:00
1000128,1000663,2008-08-13 06:00:00,2008-09-24 06:00:00
1000129,1000663,2009-02-11 06:00:00,2009-03-25 06:00:00
1000130,1000663,2009-07-28 06:00:00,2009-09-09 06:00:00
1000131,1000663,2009-10-20 06:00:00,2009-12-02 06:00:00
1000132,1000254,2008-11-17 06:00:00,2008-12-15 06:00:00
1000133,1000254,2007-12-12 06:00:00,2008-01-04 06:00:00
1000134,1000254,2008-06-18 06:00:00,2008-07-30 06:00:00
1000135,1000254,2009-01-26 06:00:00,2009-03-09 06:00:00
1000136,1000254,2009-07-13 06:00:00,2009-08-20 06:00:00
1000137,1000254,2008-01-30 06:00:00,2008-02-29 06:00:00
1000138,1000254,2008-09-10 06:00:00,2008-10-15 06:00:00
1000139,1000254,2008-03-28 06:00:00,2008-05-07 06:00:00
1000140,1000254,2009-04-20 06:00:00,2009-06-01 06:00:00
1000141,1000641,2009-03-11 06:00:00,2009-04-17 06:00:00
1000142,1000641,2007-11-07 06:00:00,2007-12-14 06:00:00
1000143,1000641,2008-03-26 06:00:00,2008-05-02 06:00:00
1000144,1000641,2008-10-22 06:00:00,2008-11-28 06:00:00
1000145,1000641,2008-06-04 06:00:00,2008-07-11 06:00:00
1000146,1000641,2008-01-16 06:00:00,2008-02-22 06:00:00
1000147,1000641,2008-08-13 06:00:00,2008-09-19 06:00:00
1000148,1000641,2008-12-31 06:00:00,2009-02-06 06:00:00
1000149,1000641,2009-05-20 06:00:00,2009-06-26 06:00:00
1000150,1000256,2009-07-25 06:00:00,2009-10-08 06:00:00
1000152,1000256,2009-02-21 06:00:00,2009-04-04 06:00:00
1000153,1000256,2008-09-11 06:00:00,2008-10-23 06:00:00
1000154,1000256,2009-05-16 06:00:00,2009-06-23 06:00:00
1000155,1000256,2008-07-08 06:00:00,2008-08-21 06:00:00
1000156,1000256,2008-12-04 06:00:00,2009-01-13 06:00:00
1000158,1000243,2008-02-28 06:00:00,2008-04-24 06:00:00
1000159,1000243,2009-04-09 06:00:00,2009-06-25 06:00:00
1000160,1000243,2009-07-23 06:00:00,2009-09-17 06:00:00
1000162,1000243,2008-08-14 06:00:00,2008-10-09 06:00:00
1000163,1000243,2007-11-22 06:00:00,2008-01-31 06:00:00
1000164,1000243,2008-05-22 06:00:00,2008-07-17 06:00:00
1000165,1000243,2008-11-06 06:00:00,2008-12-27 06:00:00
1000166,1000243,2009-01-29 06:00:00,2009-03-19 06:00:00
1000167,1000244,2008-04-24 06:00:00,2008-06-19 06:00:00
1000168,1000244,2008-12-27 06:00:00,2009-02-26 06:00:00
1000169,1000244,2008-07-17 06:00:00,2008-09-11 06:00:00
1000170,1000244,2008-01-31 06:00:00,2008-03-27 06:00:00
1000171,1000244,2009-06-25 06:00:00,2009-08-20 06:00:00
1000172,1000244,2009-03-19 06:00:00,2009-05-21 06:00:00
1000173,1000244,2008-10-09 06:00:00,2008-12-04 06:00:00
1000174,1000244,2007-10-25 06:00:00,2007-12-20 06:00:00
1000176,1000279,2009-09-15 06:00:00,2009-10-29 06:00:00
1000177,1000279,2009-06-25 06:00:00,2009-08-06 06:00:00
1000178,1000279,2007-11-13 06:00:00,2007-12-20 06:00:00
1000179,1000240,2008-08-13 06:00:00,2008-10-01 06:00:00
1000180,1000240,2008-11-03 06:00:00,2008-12-15 06:00:00
1000181,1000240,2009-06-29 06:00:00,2009-08-10 06:00:00
1000182,1000240,2009-04-17 06:00:00,2009-05-25 06:00:00
1000183,1000240,2007-12-21 06:00:00,2008-02-01 06:00:00
1000184,1000240,2008-05-21 06:00:00,2008-07-02 06:00:00
1000185,1000240,2009-09-21 06:00:00,2009-11-02 06:00:00
1000186,1000240,2008-03-07 06:00:00,2008-04-23 06:00:00
1000187,1000240,2009-01-26 06:00:00,2009-03-09 06:00:00
1000188,1000271,2008-10-03 06:00:00,2008-11-03 06:00:00
1000189,1000271,2008-12-15 06:00:00,2009-01-26 06:00:00
1000190,1000271,2009-08-10 06:00:00,2009-09-21 06:00:00
1000191,1000271,2008-02-01 06:00:00,2008-03-07 06:00:00
1000192,1000271,2008-07-02 06:00:00,2008-08-13 06:00:00
1000193,1000271,2008-04-11 06:00:00,2008-05-21 06:00:00
1000194,1000271,2007-11-09 06:00:00,2007-12-21 06:00:00
1000195,1000271,2009-05-25 06:00:00,2009-06-29 06:00:00
1000196,1000246,2007-09-07 06:00:00,2007-10-19 06:00:00
1000197,1000246,2008-09-17 06:00:00,2008-10-15 06:00:00
1000198,1000246,2008-07-09 06:00:00,2008-08-13 06:00:00
1000199,1000246,2009-03-30 06:00:00,2009-05-04 06:00:00
1000200,1000246,2008-11-10 06:00:00,2008-12-15 06:00:00
1000201,1000246,2009-06-08 06:00:00,2009-07-13 06:00:00
1000202,1000246,2007-11-30 06:00:00,2008-01-11 06:00:00
1000203,1000246,2008-02-22 06:00:00,2008-04-04 06:00:00
1000204,1000246,2008-05-07 06:00:00,2008-06-04 06:00:00
1000205,1000241,2009-01-12 06:00:00,2009-02-23 06:00:00
1000206,1000241,2009-06-22 06:00:00,2009-07-27 06:00:00
1000207,1000241,2008-10-01 06:00:00,2008-12-01 06:00:00
1000208,1000241,2008-08-02 06:00:00,2008-09-10 06:00:00
1000209,1000241,2008-05-07 06:00:00,2008-07-02 06:00:00
1000211,1000241,2009-04-03 06:00:00,2009-05-18 06:00:00
1000212,1000241,2007-11-23 06:00:00,2008-01-04 06:00:00
1000213,1000241,2008-02-08 06:00:00,2008-04-04 06:00:00
1000214,1000260,2009-02-23 06:00:00,2009-04-06 06:00:00
1000215,1000260,2008-06-18 06:00:00,2008-07-30 06:00:00
1000216,1000260,2008-01-04 06:00:00,2008-02-15 06:00:00
1000217,1000260,2009-08-10 06:00:00,2009-09-24 06:00:00
1000218,1000260,2008-03-28 06:00:00,2008-05-07 06:00:00
1000219,1000260,2008-09-10 06:00:00,2008-10-22 06:00:00
1000220,1000260,2008-12-01 06:00:00,2009-01-26 06:00:00
1000221,1000260,2007-10-12 06:00:00,2007-11-23 06:00:00
1000222,1000260,2009-05-18 06:00:00,2009-06-29 06:00:00
1000223,1000259,2009-07-13 06:00:00,2009-08-24 06:00:00
1000224,1000259,2009-04-20 06:00:00,2009-04-25 06:00:00
1000225,1000259,2007-12-14 06:00:00,2008-02-01 06:00:00
1000226,1000259,2008-03-07 06:00:00,2008-04-18 06:00:00
1000227,1000259,2008-08-20 06:00:00,2008-10-01 06:00:00
1000229,1000259,2009-01-26 06:00:00,2009-03-09 06:00:00
1000231,1000262,2009-05-18 06:00:00,2009-06-29 06:00:00
1000232,1000262,2008-01-04 06:00:00,2008-02-15 06:00:00
1000233,1000262,2008-03-28 06:00:00,2008-05-07 06:00:00
1000234,1000262,2009-02-23 06:00:00,2009-04-06 06:00:00
1000235,1000262,2008-06-18 06:00:00,2008-07-30 06:00:00
1000236,1000262,2008-12-01 06:00:00,2009-01-12 06:00:00
1000237,1000262,2007-10-12 06:00:00,2007-11-30 06:00:00
1000238,1000262,2008-09-10 06:00:00,2008-10-22 06:00:00
1000239,1000386,2009-01-12 06:00:00,2009-02-23 06:00:00
1000241,1000386,2009-04-06 06:00:00,2009-05-18 06:00:00
1000242,1000386,2008-10-22 06:00:00,2008-12-01 06:00:00
1000243,1000386,2008-02-15 06:00:00,2008-03-28 06:00:00
1000244,1000386,2009-06-29 06:00:00,2009-08-10 06:00:00
1000245,1000386,2008-05-07 06:00:00,2008-06-18 06:00:00
1000246,1000386,2008-07-30 06:00:00,2008-09-10 06:00:00
1000247,1000386,2007-11-23 06:00:00,2008-01-04 06:00:00
1000248,1000270,2009-02-23 06:00:00,2009-03-30 06:00:00
1000249,1000270,2008-10-03 06:00:00,2008-11-03 06:00:00
1000250,1000270,2007-11-09 06:00:00,2007-12-21 06:00:00
1000251,1000270,2008-12-15 06:00:00,2009-01-19 06:00:00
1000252,1000270,2008-02-01 06:00:00,2008-03-14 06:00:00
1000253,1000270,2008-04-25 06:00:00,2008-06-04 06:00:00
1000254,1000270,2009-10-22 06:00:00,2009-12-03 06:00:00
1000255,1000270,2008-07-09 06:00:00,2008-08-13 06:00:00
1000256,1000270,2009-08-03 06:00:00,2009-09-10 06:00:00
1000258,1000248,2008-08-12 06:00:00,2008-10-01 06:00:00
1000259,1000248,2009-01-19 06:00:00,2009-02-23 06:00:00
1000260,1000248,2008-03-14 06:00:00,2008-04-25 06:00:00
1000261,1000248,2007-09-28 06:00:00,2007-11-09 06:00:00
1000262,1000248,2007-12-21 06:00:00,2008-02-01 06:00:00
1000263,1000248,2009-06-22 06:00:00,2009-08-03 06:00:00
1000264,1000248,2008-11-03 06:00:00,2008-12-15 06:00:00
1000265,1000248,2008-06-04 06:00:00,2008-07-09 06:00:00
1000266,1000276,2008-06-18 06:00:00,2008-07-30 06:00:00
1000267,1000276,2008-04-01 06:00:00,2008-05-07 06:00:00
1000268,1000276,2008-01-11 06:00:00,2008-02-22 06:00:00
1000270,1000276,2009-04-27 06:00:00,2009-06-01 06:00:00
1000271,1000276,2009-02-16 06:00:00,2009-03-25 06:00:00
1000272,1000276,2007-10-19 06:00:00,2007-11-30 06:00:00
1000273,1000276,2008-09-10 06:00:00,2008-10-22 06:00:00
1000274,1000276,2008-11-03 06:00:00,2009-01-12 06:00:00
1000275,1000277,2008-07-30 06:00:00,2008-09-10 06:00:00
1000276,1000277,2008-05-07 06:00:00,2008-06-18 06:00:00
1000277,1000277,2007-11-30 06:00:00,2008-01-11 06:00:00
1000278,1000277,2009-06-01 06:00:00,2009-07-06 06:00:00
1000280,1000277,2008-10-01 06:00:00,2008-12-01 06:00:00
1000281,1000277,2009-03-25 06:00:00,2009-04-27 06:00:00
1000282,1000277,2009-01-12 06:00:00,2009-02-16 06:00:00
1000283,1000277,2008-02-22 06:00:00,2008-04-04 06:00:00
1000284,1000387,2007-11-09 06:00:00,2007-12-14 06:00:00
1000285,1000387,2009-02-09 06:00:00,2009-03-16 06:00:00
1000286,1000387,2008-06-11 06:00:00,2008-07-23 06:00:00
1000287,1000387,2009-04-20 06:00:00,2009-06-01 06:00:00
1000288,1000387,2008-09-03 06:00:00,2008-10-15 06:00:00
1000289,1000387,2008-01-11 06:00:00,2008-02-22 06:00:00
1000290,1000387,2008-11-24 06:00:00,2009-01-12 06:00:00
1000291,1000387,2008-03-28 06:00:00,2008-05-07 06:00:00
1000294,1000388,2007-12-14 06:00:00,2008-01-11 06:00:00
1000295,1000388,2009-01-12 06:00:00,2009-02-09 06:00:00
1000296,1000388,2009-03-16 06:00:00,2009-04-27 06:00:00
1000297,1000388,2008-10-15 06:00:00,2008-12-01 06:00:00
1000298,1000388,2008-05-07 06:00:00,2008-06-11 06:00:00
1000299,1000388,2008-07-16 06:00:00,2008-09-03 06:00:00
1000300,1000388,2008-02-19 06:00:00,2008-04-04 06:00:00
1000302,1000242,2008-06-19 06:00:00,2008-08-14 06:00:00
1000303,1000242,2008-12-04 06:00:00,2009-01-29 06:00:00
1000304,1000242,2008-09-11 06:00:00,2008-11-06 06:00:00
1000306,1000242,2007-12-28 06:00:00,2008-02-29 06:00:00
1000308,1000242,2008-03-27 06:00:00,2008-05-22 06:00:00
1000310,1000269,2008-08-14 06:00:00,2008-10-16 06:00:00
1000311,1000269,2008-05-08 06:00:00,2008-07-17 06:00:00
1000312,1000269,2008-03-06 06:00:00,2008-04-17 06:00:00
1000314,1000269,2008-11-06 06:00:00,2009-01-03 06:00:00
1000315,1000269,2009-04-30 06:00:00,2009-06-11 06:00:00
1000316,1000269,2009-07-02 06:00:00,2009-09-10 06:00:00
1000319,1000275,2008-01-31 06:00:00,2008-03-27 06:00:00
1000320,1000275,2009-06-11 06:00:00,2009-08-06 06:00:00
1000321,1000275,2008-07-17 06:00:00,2008-09-11 06:00:00
1000322,1000275,2009-03-26 06:00:00,2009-05-21 06:00:00
1000323,1000275,2007-10-18 06:00:00,2007-12-27 06:00:00
1000324,1000275,2008-10-02 06:00:00,2008-12-04 06:00:00
1000325,1000275,2008-04-17 06:00:00,2008-06-19 06:00:00
1000326,1000330,2009-05-21 06:00:00,2009-07-16 06:00:00
1000327,1000330,2008-12-04 06:00:00,2009-01-29 06:00:00
1000328,1000330,2008-06-19 06:00:00,2008-08-14 06:00:00
1000330,1000330,2008-03-27 06:00:00,2008-05-22 06:00:00
1000331,1000330,2007-12-20 06:00:00,2008-02-28 06:00:00
1000332,1000330,2008-09-11 06:00:00,2008-11-06 06:00:00
1000333,1000330,2009-02-26 06:00:00,2009-04-23 06:00:00
1000335,1000245,2008-08-14 06:00:00,2008-10-16 06:00:00
1000336,1000245,2009-07-16 06:00:00,2009-09-10 06:00:00
1000337,1000245,2009-01-29 06:00:00,2009-03-26 06:00:00
1000338,1000245,2008-05-22 06:00:00,2008-07-17 06:00:00
1000339,1000245,2009-04-23 06:00:00,2009-06-18 06:00:00
1000341,1000245,2008-02-28 06:00:00,2008-04-24 06:00:00
1000343,1000245,2007-11-15 06:00:00,2008-01-31 06:00:00
1000345,1000264,2008-06-19 06:00:00,2008-08-14 06:00:00
1000346,1000264,2008-01-24 06:00:00,2008-02-28 06:00:00
1000347,1000264,2007-10-11 06:00:00,2007-12-20 06:00:00
1000349,1000264,2008-03-27 06:00:00,2008-05-22 06:00:00
1000350,1000264,2008-12-04 06:00:00,2009-01-29 06:00:00
1000351,1000264,2008-09-11 06:00:00,2008-11-06 06:00:00
1000352,1000361,2009-03-12 06:00:00,2009-04-28 06:00:00
1000353,1000361,2008-07-10 06:00:00,2008-09-04 06:00:00
1000354,1000361,2007-09-27 06:00:00,2007-12-06 06:00:00
1000355,1000361,2008-01-10 06:00:00,2008-03-20 06:00:00
1000356,1000361,2008-04-17 06:00:00,2008-06-12 06:00:00
1000357,1000361,2008-09-25 06:00:00,2008-11-20 06:00:00
1000358,1000361,2008-12-18 06:00:00,2009-02-12 06:00:00
1000359,1000287,2007-12-06 06:00:00,2008-02-14 06:00:00
1000360,1000287,2008-09-04 06:00:00,2008-10-30 06:00:00
1000361,1000287,2009-04-29 06:00:00,2009-07-02 06:00:00
1000362,1000287,2008-06-12 06:00:00,2008-08-07 06:00:00
1000363,1000287,2008-11-20 06:00:00,2009-01-15 06:00:00
1000365,1000287,2009-10-22 06:00:00,2009-12-17 06:00:00
1000366,1000287,2008-03-20 06:00:00,2008-05-15 06:00:00
1000367,1000287,2009-08-06 06:00:00,2009-09-24 06:00:00
1000368,1000278,2009-07-02 06:00:00,2009-08-27 06:00:00
1000369,1000278,2008-05-15 06:00:00,2008-07-10 06:00:00
1000371,1000278,2008-02-17 06:00:00,2008-04-17 06:00:00
1000372,1000278,2008-09-04 06:00:00,2008-10-02 06:00:00
1000373,1000278,2009-04-09 06:00:00,2009-06-04 06:00:00
1000374,1000278,2007-11-01 06:00:00,2008-01-10 06:00:00
1000375,1000378,2008-12-13 06:00:00,2009-02-21 06:00:00
1000376,1000378,2008-08-23 06:00:00,2008-11-08 06:00:00
1000377,1000256,2008-04-03 06:00:00,2008-05-08 06:00:00
1000379,1000378,2009-03-25 06:00:00,2009-06-06 06:00:00
1000381,1000378,2009-07-10 06:00:00,2009-09-19 06:00:00
1000382,1000378,2008-05-17 06:00:00,2008-07-26 06:00:00
1000383,1000378,2007-10-27 06:00:00,2007-12-29 06:00:00
1000385,1000372,2009-05-30 06:00:00,2009-08-15 06:00:00
1000386,1000372,2007-12-29 06:00:00,2008-03-08 06:00:00
1000388,1000372,2009-02-21 06:00:00,2009-05-02 06:00:00
1000390,1000372,2008-11-08 06:00:00,2009-01-17 06:00:00
1000391,1000372,2008-04-12 06:00:00,2008-06-21 06:00:00
1000392,1000372,2008-07-26 06:00:00,2008-10-04 06:00:00
1000393,1000372,2009-09-19 06:00:00,2009-11-28 06:00:00
1000394,1000268,2008-10-30 06:00:00,2008-12-18 06:00:00
1000395,1000268,2009-04-09 06:00:00,2009-06-04 06:00:00
1000396,1000268,2008-02-14 06:00:00,2008-04-17 06:00:00
1000397,1000268,2008-05-15 06:00:00,2008-06-14 06:00:00
1000398,1000268,2007-11-01 06:00:00,2008-01-10 06:00:00
1000401,1000268,2008-08-09 06:00:00,2008-10-11 06:00:00
1000402,1000268,2009-07-02 06:00:00,2009-08-27 06:00:00
1000403,1000267,2008-01-10 06:00:00,2008-03-20 06:00:00
1000404,1000267,2008-10-02 06:00:00,2008-12-04 06:00:00
1000405,1000267,2008-07-10 06:00:00,2008-09-04 06:00:00
1000406,1000267,2009-06-11 06:00:00,2009-08-06 06:00:00
1000407,1000267,2007-09-27 06:00:00,2007-12-06 06:00:00
1000408,1000267,2008-04-17 06:00:00,2008-06-12 06:00:00
1000409,1000267,2008-12-27 06:00:00,2009-02-19 06:00:00
1000410,1000253,2008-06-11 06:00:00,2008-08-06 06:00:00
1000411,1000253,2008-11-27 06:00:00,2009-01-22 06:00:00
1000412,1000253,2008-03-20 06:00:00,2008-05-15 06:00:00
1000413,1000253,2009-05-14 06:00:00,2009-07-09 06:00:00
1000414,1000253,2008-09-30 06:00:00,2008-10-30 06:00:00
1000416,1000253,2007-12-06 06:00:00,2008-02-14 06:00:00
1000417,1000261,2008-06-25 06:00:00,2008-08-06 06:00:00
1000418,1000261,2009-08-06 06:00:00,2009-09-14 06:00:00
1000419,1000261,2008-09-17 06:00:00,2008-10-27 06:00:00
1000420,1000261,2008-12-08 06:00:00,2009-01-19 06:00:00
1000421,1000261,2007-10-19 06:00:00,2007-11-30 06:00:00
1000422,1000261,2009-03-02 06:00:00,2009-04-06 06:00:00
1000423,1000261,2008-04-04 06:00:00,2008-05-14 06:00:00
1000424,1000261,2009-05-11 06:00:00,2009-06-22 06:00:00
1000425,1000261,2008-01-11 06:00:00,2008-02-22 06:00:00
1000426,1000247,2009-04-06 06:00:00,2009-05-11 06:00:00
1000427,1000247,2008-08-06 06:00:00,2008-09-17 06:00:00
1000428,1000247,2009-09-14 06:00:00,2009-10-26 06:00:00
1000429,1000247,2007-12-14 06:00:00,2008-01-18 06:00:00
1000430,1000247,2009-06-22 06:00:00,2009-08-03 06:00:00
1000431,1000247,2008-04-30 06:00:00,2008-06-25 06:00:00
1000432,1000247,2008-10-27 06:00:00,2008-12-08 06:00:00
1000433,1000247,2008-02-27 06:00:00,2008-04-09 06:00:00
1000434,1000247,2009-01-19 06:00:00,2009-03-02 06:00:00
1000435,1000640,2009-03-04 06:00:00,2009-04-22 18:00:00
1000436,1000640,2008-09-24 06:00:00,2008-11-05 18:00:00
1000437,1000640,2009-06-03 06:00:00,2009-07-17 18:00:00
1000438,1000640,2008-01-18 06:00:00,2008-02-29 18:00:00
1000439,1000640,2008-04-11 06:00:00,2008-05-21 18:00:00
1000440,1000640,2007-11-09 06:00:00,2007-12-14 18:00:00
1000441,1000640,2009-08-28 06:00:00,2009-10-09 18:00:00
1000442,1000640,2008-12-17 06:00:00,2009-01-28 18:00:00
1000443,1000640,2008-06-29 06:00:00,2008-08-13 18:00:00
1000444,1000258,2007-11-09 06:00:00,2007-12-14 18:00:00
1000445,1000258,2008-04-11 06:00:00,2008-05-21 18:00:00
1000446,1000258,2008-09-17 06:00:00,2008-10-27 18:00:00
1000447,1000258,2008-12-08 06:00:00,2009-01-19 18:00:00
